State,Date,total_population,cumulative_cases,cumulative_cases_per_100_000,cumulative_deaths,cumulative_deaths_per_100_000,new_cases,new_cases_7_day_rolling_avg,new_deaths,new_deaths_7_day_rolling_avg,new_deaths_per_100_000,new_cases_per_100_000,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Alabama,2/1/20,4887871,0,0,0,0,0,0,0,0,0,0,2/1/20,"2,170",1/25/20,"17,284","1,923,741",0.9
Alabama,2/8/20,4887871,0,0,0,0,0,0,0,0,0,0,2/8/20,"2,176",2/1/20,"16,745","1,923,741",0.87
Alabama,2/15/20,4887871,0,0,0,0,0,0,0,0,0,0,2/15/20,"1,981",2/8/20,"16,571","1,923,741",0.86
Alabama,2/22/20,4887871,0,0,0,0,0,0,0,0,0,0,2/22/20,"1,735",2/15/20,"16,059","1,923,741",0.83
Alabama,2/29/20,4887871,0,0,0,0,0,0,0,0,0,0,2/29/20,"1,575",2/22/20,"14,721","1,923,741",0.77
Alabama,3/7/20,4887871,0,0,0,0,0,0,0,0,0,0,3/7/20,"1,663",2/29/20,"13,657","1,923,741",0.71
Alabama,3/14/20,4887871,7,0.14,0,0,2,1,0,0,0,0.04,3/14/20,"1,819",3/7/20,"13,070","1,923,741",0.68
Alabama,3/21/20,4887871,131,2.68,0,0,25,17.71428571,0,0,0,0.51,3/21/20,"10,892",3/14/20,"12,487","1,923,741",0.65
Alabama,3/28/20,4887871,694,14.2,4,0.08,107,80.42857143,0,0.571428571,0,2.19,3/28/20,"80,984",3/21/20,"18,083","1,923,741",0.94
Alabama,4/4/20,4887871,1614,33.02,44,0.9,119,131.4285714,6,5.714285714,0.12,2.43,4/4/20,"106,739",3/28/20,"52,176","1,923,741",2.71
Alabama,4/11/20,4887871,3217,65.82,92,1.88,270,229,12,6.857142857,0.25,5.52,4/11/20,"77,515",4/4/20,"95,325","1,929,897",4.94
Alabama,4/18/20,4887871,4712,96.4,153,3.13,141,213.5714286,5,8.714285714,0.1,2.88,4/18/20,"66,432",4/11/20,"144,327","1,929,897",7.48
Alabama,4/25/20,4887871,6026,123.28,209,4.28,0,187.7142857,0,8,0,0,4/25/20,"74,966",4/18/20,"173,855","1,929,897",9.01
Alabama,5/2/20,4887871,7611,155.71,288,5.89,317,226.4285714,-1,13.33333333,-0.02,6.49,5/2/20,"28,985",4/25/20,"214,684","1,929,897",11.12
Alabama,5/9/20,4887871,9668,197.8,390,7.98,283,293.8571429,7,14.57142857,0.14,5.79,5/9/20,"26,666",5/2/20,"216,856","1,929,897",11.24
Alabama,5/16/20,4887871,11674,238.84,485,9.92,301,286.5714286,2,13.57142857,0.04,6.16,5/16/20,"25,150",5/9/20,"203,677","1,929,897",10.55
Alabama,5/23/20,4887871,14117,288.82,549,11.23,447,349,8,9.142857143,0.16,9.15,5/23/20,"27,919",5/16/20,"190,205","1,929,897",9.86
Alabama,5/30/20,4887871,17359,355.14,618,12.64,328,463.1428571,8,9.857142857,0.16,6.71,5/30/20,"21,335",5/23/20,"183,565","1,929,897",9.51
Alabama,6/6/20,4887871,20043,410.06,689,14.1,656,383.4285714,13,10.14285714,0.27,13.42,6/6/20,"19,949",5/30/20,"180,245","1,929,897",9.34
Alabama,6/13/20,4887871,24601,503.31,773,15.81,891,651.1428571,4,12,0.08,18.23,6/13/20,"18,367",6/6/20,"163,982","1,929,897",8.5
Alabama,6/20/20,4887871,29549,604.54,838,17.14,547,706.8571429,16,9.285714286,0.33,11.19,6/20/20,"18,671",6/13/20,"150,002","1,929,897",7.77
Alabama,6/27/20,4887871,35083,717.76,919,18.8,900,790.5714286,12,11.57142857,0.25,18.41,6/27/20,"18,338",6/20/20,"141,450","1,929,897",7.33
Alabama,7/4/20,4887871,42862,876.91,1007,20.6,997,1111.285714,1,12.57142857,0.02,20.4,7/4/20,"19,056",6/27/20,"138,272","1,929,897",7.16
Alaska,2/1/20,737438,0,0,0,0,0,0,0,0,0,0,2/1/20,"1,122",1/25/20,"9,579","307,329",3.12
Alaska,2/8/20,737438,0,0,0,0,0,0,0,0,0,0,2/8/20,980,2/1/20,"9,161","307,329",2.98
Alaska,2/15/20,737438,0,0,0,0,0,0,0,0,0,0,2/15/20,915,2/8/20,"9,343","307,329",3.04
Alaska,2/22/20,737438,0,0,0,0,0,0,0,0,0,0,2/22/20,773,2/15/20,"8,864","307,329",2.88
Alaska,2/29/20,737438,0,0,0,0,0,0,0,0,0,0,2/29/20,874,2/22/20,"8,938","307,329",2.91
Alaska,3/7/20,737438,0,0,0,0,0,0,0,0,0,0,3/7/20,815,2/29/20,"8,266","307,329",2.69
Alaska,3/14/20,737438,1,0.14,0,0,0,0.142857143,0,0,0,0,3/14/20,"1,120",3/7/20,"8,522","307,329",2.77
Alaska,3/21/20,737438,13,1.76,0,0,2,1.714285714,0,0,0,0.27,3/21/20,"7,847",3/14/20,"8,512","307,329",2.77
Alaska,3/28/20,737438,85,11.53,2,0.27,27,10.28571429,1,0.285714286,0.14,3.66,3/28/20,"13,774",3/21/20,"11,173","307,329",3.64
Alaska,4/4/20,737438,171,23.19,5,0.68,14,12.28571429,2,0.428571429,0.27,1.9,4/4/20,"14,590",3/28/20,"19,845","307,329",6.46
Alaska,4/11/20,737438,257,34.85,8,1.08,11,12.28571429,1,0.428571429,0.14,1.49,4/11/20,"12,007",4/4/20,"35,365","308,137",11.48
Alaska,4/18/20,737438,314,42.58,9,1.22,5,8.142857143,0,0.142857143,0,0.68,4/18/20,"12,201",4/11/20,"48,096","308,137",15.61
Alaska,4/25/20,737438,339,45.97,9,1.22,0,3.571428571,0,0,0,0,4/25/20,"10,313",4/18/20,"52,022","308,137",16.88
